	sample1	sample2	sample3	sample4	sample5	sample6	sample7
K04018	1.8622E-06	6.74544E-07	4.01426E-05	1.62786E-05	2.06517E-05	2.94894E-06	3.15029E-08
K04019	4.96739E-06	7.19402E-07	2.57274E-05	9.43965E-05	6.07847E-05	6.55885E-06	1.44506E-07
K04020	3.1913E-06	2.34707E-07	4.134E-06	7.68658E-06	1.01533E-05	6.52503E-06	6.93061E-06
K04021	4.90328E-06	1.13799E-05	3.22488E-06	7.02234E-06	1.20561E-05	3.02805E-06	2.24083E-07
K04022	1.13364E-06	8.04429E-08	2.787E-07	8.69044E-07	6.69267E-07	2.59259E-06	1.15958E-07
K04023	8.18991E-06	9.38225E-07	2.6023E-05	9.20591E-05	6.17521E-05	7.77218E-06	1.13644E-07
K04024	7.46808E-06	6.7916E-07	2.71391E-05	5.25841E-05	0.000144978	6.84362E-06	1.84518E-06
K04025	1.10134E-06	4.2106E-08	1.49347E-07	6.36925E-07	3.00397E-07	5.37948E-07	4.05905E-08
K04026	5.31441E-06	1.34907E-06	2.74729E-05	0.000101557	6.70265E-05	6.48934E-06	4.53932E-07
K04027	1.24423E-05	3.90188E-06	8.4345E-05	0.000241578	0.000305124	4.05056E-05	3.58141E-06
K04028	7.30339E-06	1.66238E-06	3.5799E-05	0.000110009	0.000100913	1.00206E-05	9.04563E-07
K04029	4.98688E-06	1.54912E-06	3.14335E-05	9.92582E-05	0.000102215	3.15615E-05	2.93228E-07
K04030	5.01496E-06	1.59769E-06	2.41402E-05	8.28019E-05	4.91661E-05	7.77604E-06	1.08944E-07
K04031	1.01978E-05	1.87616E-06	4.44612E-05	0.000119684	0.000170665	1.6158E-05	3.17228E-07
K04032	1.4059E-06	3.95273E-07	1.32907E-05	4.87852E-05	3.99096E-05	2.18218E-06	1.77568E-07
K04033	2.2976E-06	6.45859E-08	1.06447E-07	1.31008E-07	1.08004E-07	1.22725E-06	3.24023E-07
K04034	2.02124E-06	5.65622E-07	7.54476E-06	1.02654E-05	3.31522E-05	5.14346E-05	8.13746E-07
K04035	8.7974E-07	1.54014E-07	1.0561E-06	1.66339E-06	3.79878E-06	5.19189E-06	6.52641E-07
K04036	1.31123E-07	3.83579E-08	2.83463E-07	1.61197E-07	6.61679E-08	1.89909E-07	1.15438E-09
K04037	1.14568E-06	1.13957E-06	1.11344E-06	1.59076E-06	2.31174E-06	5.23467E-06	4.21958E-07
